,survey,quartiles,response_code,ratio,err
54,NSS-72-DT,q3,9,0.00010908199772448069,4.604752118111305e-05
55,NSS-72-DT,q4,1,0.9143638262271199,0.003288638253514205
56,NSS-72-DT,q4,2,0.06506737993302901,0.0029282908344711004
57,NSS-72-DT,q4,3,0.013720423612848856,0.0012253951151825582
58,NSS-72-DT,q4,4,0.00672765467223245,0.000770417897637574
59,NSS-72-DT,q4,9,0.00012071555476980687,6.36971490998966e-05
60,NSS-72-HE,q1,1,0.8044580723230011,0.006026187635914501
61,NSS-72-HE,q1,2,0.18093410120349526,0.005829030347671291
62,NSS-72-HE,q1,3,0.009849142650919162,0.0013887273102538803
63,NSS-72-HE,q1,4,0.004627759884314377,0.0009622159022119801
64,NSS-72-HE,q1,9,0.00013092393826996473,9.214552282706732e-05
65,NSS-72-HE,q2,1,0.8443270859127415,0.005403747162611149
66,NSS-72-HE,q2,2,0.13876007328144696,0.00522085959264431
67,NSS-72-HE,q2,3,0.011564456189309433,0.0017596783385353926
68,NSS-72-HE,q2,4,0.005336249895045126,0.0013270317048610202
69,NSS-72-HE,q2,9,1.2134721456818612e-05,9.684465246735354e-06
70,NSS-72-HE,q3,1,0.8772087452426346,0.004258445011584466
71,NSS-72-HE,q3,2,0.11121788911318141,0.0040955937956812264
72,NSS-72-HE,q3,3,0.007045200022476545,0.0011714051506134782
73,NSS-72-HE,q3,4,0.004245455212794054,0.0009508555457291466
74,NSS-72-HE,q3,9,0.0002827104089132167,0.00026226100241740716
75,NSS-72-HE,q4,1,0.9031663807458428,0.0034997454231371792
76,NSS-72-HE,q4,2,0.07553584888935093,0.0032803318426902137
77,NSS-72-HE,q4,3,0.013550097864619807,0.0012955421896908683
78,NSS-72-HE,q4,4,0.007567142579606047,0.0008352130054760981
79,NSS-72-HE,q4,9,0.0001805299205804347,9.248279150827277e-05
80,NSS-75-SCE,q1,1,0.8641102225519995,0.004835173594833519
81,NSS-75-SCE,q1,2,0.12166437555389237,0.004602158007125622
82,NSS-75-SCE,q1,3,0.010230075262407965,0.0013182567310063556
83,NSS-75-SCE,q1,4,0.003995326631700088,0.001183245116867141
84,NSS-75-SCE,q2,1,0.8841981360568965,0.004036638428909245
85,NSS-75-SCE,q2,2,0.10055951500044073,0.003879205303497994
86,NSS-75-SCE,q2,3,0.011271146962286163,0.0012836575878041037
87,NSS-75-SCE,q2,4,0.003835018393747744,0.0012954656318370054
88,NSS-75-SCE,q2,9,0.000136183586628977,0.0001118105625477874
89,NSS-75-SCE,q3,1,0.9117020881967494,0.0033950775745127523
90,NSS-75-SCE,q3,2,0.07907230549811707,0.003192625872933362
91,NSS-75-SCE,q3,3,0.00679438751473768,0.0008659202736954278
92,NSS-75-SCE,q3,4,0.002338470019050757,0.0005110719631703077
93,NSS-75-SCE,q3,9,9.274877134525774e-05,8.198295646812576e-05
94,NSS-75-SCE,q4,1,0.9253315261970918,0.003197413380158912
95,NSS-75-SCE,q4,2,0.054131747793696616,0.0026613710966552563
96,NSS-75-SCE,q4,3,0.014250224303403287,0.001086077523112144
97,NSS-75-SCE,q4,4,0.005806596712984026,0.0009598753754369593
98,NSS-75-SCE,q4,9,0.00047990499282420394,0.000192278949783437
99,NSS-75-SCH,q1,1,0.8725987640725086,0.005195340962248708
100,NSS-75-SCH,q1,2,0.11383027395297572,0.004933577770500522
101,NSS-75-SCH,q1,3,0.010737162184894409,0.0018003621044135494
102,NSS-75-SCH,q1,4,0.0027895525795858097,0.0009054515379986165
103,NSS-75-SCH,q1,9,4.4247210035528295e-05,3.753041772289111e-05
104,NSS-75-SCH,q2,1,0.8852957918999707,0.005460580196221437
105,NSS-75-SCH,q2,2,0.10238772520269773,0.005141402221218837
106,NSS-75-SCH,q2,3,0.01028567713331087,0.002084383707479996
107,NSS-75-SCH,q2,4,0.001976620220329649,0.0007806083733050004
108,NSS-75-SCH,q2,9,5.4185543691134015e-05,3.6895644298194344e-05
109,NSS-75-SCH,q3,1,0.9238577299727536,0.003516388674513133
110,NSS-75-SCH,q3,2,0.06638901457723743,0.00326293952553583
111,NSS-75-SCH,q3,3,0.0069385885588681894,0.0010652041952540956
112,NSS-75-SCH,q3,4,0.0028006580116150615,0.0007683826752325491
113,NSS-75-SCH,q3,9,1.4008879526074027e-05,9.944406036909914e-06
114,NSS-75-SCH,q4,1,0.9211644383872206,0.0038130592584603392
115,NSS-75-SCH,q4,2,0.05993419258140427,0.003313329076214665
116,NSS-75-SCH,q4,3,0.014327551461908618,0.001404683597783572
117,NSS-75-SCH,q4,4,0.004175093490275201,0.0007490552823925297
118,NSS-75-SCH,q4,9,0.00039872407919145855,0.0002313098301214384
119,NSS-76-DW,q1,1,0.8873644753712074,
120,NSS-76-DW,q1,2,0.1000682538772197,
121,NSS-76-DW,q1,3,0.010148116752655045,
122,NSS-76-DW,q1,4,0.0024191539989178736,
123,NSS-76-DW,q2,1,0.9087640036411072,
124,NSS-76-DW,q2,2,0.08271237821386726,
125,NSS-76-DW,q2,3,0.0062175515346592145,
126,NSS-76-DW,q2,4,0.002251390850505394,
127,NSS-76-DW,q2,9,5.4675759860903475e-05,
128,NSS-76-DW,q3,1,0.9210977118908784,
129,NSS-76-DW,q3,2,0.07159016109815519,
130,NSS-76-DW,q3,3,0.005338275886989042,
131,NSS-76-DW,q3,4,0.0018879617974559772,
132,NSS-76-DW,q3,9,8.58893265213411e-05,
133,NSS-76-DW,q4,1,0.9223724967697399,
134,NSS-76-DW,q4,2,0.06055663551624073,
135,NSS-76-DW,q4,3,0.011601287029004072,
136,NSS-76-DW,q4,4,0.00532443063631957,
137,NSS-76-DW,q4,9,0.00014515004869587093,
138,NSS-76-PD,q1,1,0.933134239879858,
139,NSS-76-PD,q1,2,0.06150108338690653,
140,NSS-76-PD,q1,3,0.003311833917519505,
141,NSS-76-PD,q1,4,0.002038055396370333,
142,NSS-76-PD,q1,9,1.4787419345889584e-05,
143,NSS-76-PD,q2,1,0.9314793384708205,
144,NSS-76-PD,q2,2,0.06389987054772214,
145,NSS-76-PD,q2,3,0.002918614036283926,
146,NSS-76-PD,q2,4,0.0016781249133419858,
147,NSS-76-PD,q2,9,2.4052031831374426e-05,
148,NSS-76-PD,q3,1,0.9515712755284166,
149,NSS-76-PD,q3,2,0.044485145085674624,
150,NSS-76-PD,q3,3,0.002801699389919777,
151,NSS-76-PD,q3,4,0.000806851410758587,
152,NSS-76-PD,q3,9,0.00033502858523029545,
153,NSS-76-PD,q4,1,0.9498318462838978,
154,NSS-76-PD,q4,2,0.038982339402241016,
155,NSS-76-PD,q4,3,0.006021689449224525,
156,NSS-76-PD,q4,4,0.005100273646186574,
157,NSS-76-PD,q4,9,6.385121844987732e-05,
