,ratio,err
NSS-68-CE,0.7143499756192409,0.0023476186744974194
NSS-68-EU,0.7116251428037158,0.0023991941909275627
NSS-72-DT,0.700692352126254,0.002714787740531679
NSS-72-HE,0.7040876869054683,0.0028050857797086762
NSS-75-SCE,0.7089413661729945,0.0027339038046407514
NSS-75-SCH,0.7053868659565758,0.002670288207516754
NSS-76-DW,0.6932645819572228,0.000605002957842204
NSS-76-PD,0.6959719776681189,0.0005954444786594997
